SOURCE: Autopunditz,,,,,,,,,,,,,,,,,,,,
Month,Classic 350,Thunderbird 350,Bullet Electra Twinspark,Bullet 350,Bullet 500,Himalayan,Classic 500,Thunderbird 500,650 Twin,Continental GT,,Month,Bullet,Classic 350,Himalayan,Interceptor 650,,Month,Total Sales,Total User Tweets
Jan-19,46321,5422,2498,13576,127,859,854,146,1069,0,,Jan-19,16201,46321,859,1069,,Jan-19,70872,
Feb-19,37862,4298,1848,12714,140,1001,613,145,1445,0,,Feb-19,14702,37862,1001,1445,,Feb-19,60066,
Mar-19,36428,4975,1241,12101,153,965,755,116,1700,0,,Mar-19,13495,36428,965,1700,,Mar-19,58434,
Apr-19,35196,4949,2543,12376,128,1113,688,130,2014,0,,Apr-19,15047,35196,1113,2014,,Apr-19,59137,
May-19,35998,4735,2979,11995,140,1192,612,133,2427,0,,May-19,15114,35998,1192,2427,,May-19,60211,
Jun-19,33790,4749,2694,10000,138,1223,640,97,1751,0,,Jun-19,12832,33790,1223,1751,,Jun-19,55082,
Jul-19,29439,4471,1943,8680,94,1619,627,84,2225,0,,Jul-19,10717,29439,1619,2225,,Jul-19,49182,713
Aug-19,23433,3843,4998,11824,57,1653,702,70,2172,0,,Aug-19,16879,23433,1653,2172,,Aug-19,48752,604
Sep-19,29376,4293,4782,12399,78,1404,589,81,1856,0,,Sep-19,17259,29376,1404,1856,,Sep-19,54858,757
Oct-19,38936,4108,5613,15454,49,1172,391,91,1724,0,,Oct-19,21116,38936,1172,1724,,Oct-19,67538,641
Nov-19,35951,3588,3641,12902,24,793,280,86,1027,0,,Nov-19,16567,35951,793,1027,,Nov-19,58292,678
Dec-19,29121,2184,3628,12467,17,223,74,51,724,0,,Dec-19,16112,29121,223,724,,Dec-19,48489,562
Jan-20,40834,2415,5869,9559,0,1438,0,1,1176,0,,Jan-20,15428,40834,1438,1176,,Jan-20,61292,549
Feb-20,41766,830,3695,10589,60,2165,3,0,2080,0,,Feb-20,14344,41766,2165,2080,,Feb-20,61188,381
Mar-20,24253,20,3143,2575,1,1307,319,0,1012,0,,Mar-20,5719,24253,1307,1012,,Mar-20,32630,318
Apr-20,,,,,,,,,,,,Apr-20,,,,,,Apr-20,,72
May-20,,,,,,,,,,,,May-20,,,,,,May-20,,212
Jun-20,22699,0,4058,8108,0,835,0,0,810,0,,Jun-20,12166,22699,835,810,,Jun-20,36510,359
Jul-20,25534,0,3742,7112,0,479,0,0,1058,0,,Jul-20,10854,25534,479,1058,,Jul-20,37925,488
Aug-20,34791,0,4129,7257,0,530,0,0,864,0,,Aug-20,11386,34791,530,864,,Aug-20,47571,598
Sep-20,38827,0,5732,8883,0,1278,0,0,1190,0,,Sep-20,14615,38827,1278,1190,,Sep-20,55910,558
Oct-20,41953,0,6405,11203,0,1791,0,0,1506,0,,Oct-20,17608,41953,1791,1506,,Oct-20,62858,584
,,,,,,,,,,,,,,,,,,Nov-20,,689
,,,,,,,,,,,,,,,,,,Dec-20,,548
